Entity,Code,Year,Per capita consumption-based COâ‚‚ emissions,"GDP per capita, PPP (constant 2017 international)",Population (historical estimates),Continent
Afghanistan,AFG,2021,,1516.3057,40099460.0,Asia
Albania,ALB,2021,2.0870543,14518.906,2854710.0,Europe
Algeria,DZA,2021,,11039.806,44177964.0,Africa
American Samoa,ASM,2021,,,45056.0,Oceania
Andorra,AND,2021,,,79057.0,Europe
Angola,AGO,2021,,5908.57,34503776.0,Africa
Anguilla,AIA,2021,,,15779.0,North America
Antigua and Barbuda,ATG,2021,,19124.43,93229.0,North America
Argentina,ARG,2021,3.9110975,21527.195,45276788.0,South America
Armenia,ARM,2021,2.7948785,14193.117,2790971.0,Europe
Aruba,ABW,2021,,38866.332,106543.0,North America
Australia,AUS,2021,13.051487,49774.34,25921094.0,Oceania
Austria,AUT,2021,9.882456,54121.145,8922086.0,Europe
Azerbaijan,AZE,2021,3.7670248,14431.661,10312992.0,Europe
Bahamas,BHS,2021,,30210.162,407920.0,North America
Bahrain,BHR,2021,12.30133,49387.418,1463266.0,Asia
Bangladesh,BGD,2021,0.88492537,5911.013,169356240.0,Asia
Barbados,BRB,2021,,13754.803,281204.0,North America
Belarus,BLR,2021,6.4194117,19751.203,9578172.0,Europe
Belgium,BEL,2021,17.193697,51739.54,11611416.0,Europe
Belize,BLZ,2021,,8762.623,400037.0,North America
Benin,BEN,2021,0.71087456,3321.5522,12996901.0,Africa
Bermuda,BMU,2021,,80271.13,64213.0,North America
Bhutan,BTN,2021,,10907.856,777500.0,Asia
Bolivia,BOL,2021,1.8412578,8052.1772,12079474.0,South America
Bonaire Sint Eustatius and Saba,BES,2021,,,26730.0,North America
Bosnia and Herzegovina,BIH,2021,,15666.54,3270948.0,Europe
Botswana,BWA,2021,4.4283123,14840.913,2588424.0,Africa
Brazil,BRA,2021,2.1566315,14592.353,214326224.0,South America
British Virgin Islands,VGB,2021,,,31145.0,North America
Brunei,BRN,2021,21.73987,60127.023,445382.0,Asia
Bulgaria,BGR,2021,5.8886986,24398.13,6885864.0,Europe
Burkina Faso,BFA,2021,0.2885634,2179.789,22100690.0,Africa
Burundi,BDI,2021,,705.0304,12551215.0,Africa
Cambodia,KHM,2021,2.5277314,4354.5654,16589031.0,Asia
Cameroon,CMR,2021,0.40845433,3700.4644,27198632.0,Africa
Canada,CAN,2021,13.15688,47892.945,38155012.0,North America
Cape Verde,CPV,2021,,6114.1333,587936.0,Africa
Cayman Islands,CYM,2021,,67500.1,68157.0,North America
Central African Republic,CAF,2021,,837.5047,5457165.0,Africa
Chad,TCD,2021,,1425.4945,17179744.0,Africa
Chile,CHL,2021,4.8534875,25449.13,19493184.0,South America
China,CHN,2021,7.2376294,17602.695,1425893504.0,Asia
Colombia,COL,2021,2.0382006,14648.592,51516560.0,South America
Comoros,COM,2021,,3228.5269,821632.0,Africa
Congo,COG,2021,,3234.393,5835814.0,Africa
Cook Islands,COK,2021,,,17028.0,Oceania
Costa Rica,CRI,2021,2.379295,21199.281,5153959.0,North America
Cote d'Ivoire,CIV,2021,0.57226104,5325.0303,27478250.0,Africa
Croatia,HRV,2021,5.657725,31635.824,4060139.0,Europe
Cuba,CUB,2021,,,11256373.0,North America
Curacao,CUW,2021,,20783.086,190348.0,North America
Cyprus,CYP,2021,5.4935226,41701.703,1244193.0,Europe
Czechia,CZE,2021,10.382813,40740.992,10510748.0,Europe
Democratic Republic of Congo,COD,2021,,1073.6433,95894120.0,Africa
Denmark,DNK,2021,7.9747047,57962.652,5854246.0,Europe
Djibouti,DJI,2021,,4913.2563,1105562.0,Africa
Dominica,DMA,2021,,10878.037,72435.0,North America
Dominican Republic,DOM,2021,2.7186391,18626.078,11117873.0,North America
Ecuador,ECU,2021,2.6068223,10668.758,17797736.0,South America
Egypt,EGY,2021,2.427684,11566.05,109262184.0,Africa
El Salvador,SLV,2021,1.5183827,9086.047,6314165.0,North America
Equatorial Guinea,GNQ,2021,,14637.008,1634473.0,Africa
Eritrea,ERI,2021,,,3620324.0,Africa
Estonia,EST,2021,10.463436,38717.695,1328704.0,Europe
Eswatini,SWZ,2021,,8856.829,1192273.0,Africa
Ethiopia,ETH,2021,0.1882909,2319.0684,120283024.0,Africa
Falkland Islands,FLK,2021,,,3786.0,South America
Faroe Islands,FRO,2021,,,52915.0,Europe
Fiji,FJI,2021,,10359.204,924615.0,Oceania
Finland,FIN,2021,9.338425,48753.355,5535982.0,Europe
France,FRA,2021,6.443828,44993.125,64531448.0,Europe
French Guiana,GUF,2021,,,297462.0,South America
French Polynesia,PYF,2021,,,304038.0,Oceania
Gabon,GAB,2021,,13813.723,2341185.0,Africa
Gambia,GMB,2021,,2076.5664,2639922.0,Africa
Georgia,GEO,2021,3.6650205,15486.659,3757984.0,Europe
Germany,DEU,2021,9.957127,53179.656,83408560.0,Europe
Ghana,GHA,2021,0.7607105,5435.238,32833036.0,Africa
Gibraltar,GIB,2021,,,32698.0,Europe
Greece,GRC,2021,4.8734684,29548.04,10445368.0,Europe
Greenland,GRL,2021,,,56266.0,North America
Grenada,GRD,2021,,13688.256,124624.0,North America
Guadeloupe,GLP,2021,,,396057.0,North America
Guam,GUM,2021,,,170546.0,Oceania
Guatemala,GTM,2021,1.3722078,8926.7,17608484.0,North America
Guernsey,GGY,2021,,,63092.0,Europe
Guinea,GIN,2021,0.45264408,2640.3442,13531909.0,Africa
Guinea-Bissau,GNB,2021,,1831.3832,2060730.0,Africa
Guyana,GUY,2021,,21925.188,804571.0,South America
Haiti,HTI,2021,,2870.145,11447575.0,North America
Honduras,HND,2021,0.8665808,5572.177,10278346.0,North America
Hong Kong,HKG,2021,12.031124,59978.15,7494580.0,Asia
Hungary,HUN,2021,6.761141,33593.152,9709784.0,Europe
Iceland,ISL,2021,,53586.156,370338.0,Europe
India,IND,2021,1.7389793,6592.042,1407563904.0,Asia
Indonesia,IDN,2021,2.2794528,11858.146,273753184.0,Asia
Iran,IRN,2021,7.040302,15004.6875,87923432.0,Asia
Iraq,IRQ,2021,,8962.395,43533592.0,Asia
Ireland,IRL,2021,9.327258,102496.22,4986525.0,Europe
Isle of Man,IMN,2021,,,84286.0,Europe
Israel,ISR,2021,8.739394,42061.242,8900057.0,Asia
Italy,ITA,2021,7.317426,41929.43,59240336.0,Europe
Jamaica,JAM,2021,2.476031,9596.564,2827701.0,North America
Japan,JPN,2021,9.829765,40784.383,124612528.0,Asia
Jersey,JEY,2021,,,109634.0,Europe
Jordan,JOR,2021,2.694537,9223.147,11148288.0,Asia
Kazakhstan,KAZ,2021,8.544354,26110.53,19196468.0,Asia
Kenya,KEN,2021,0.62906635,4743.4863,53005616.0,Africa
Kiribati,KIR,2021,,1937.0894,128883.0,Oceania
Kosovo,OWID_KOS,2021,,11884.18,1662022.0,Europe
Kuwait,KWT,2021,24.532375,,4250111.0,Asia
Kyrgyzstan,KGZ,2021,2.7585359,4814.9565,6527742.0,Asia
Laos,LAO,2021,3.3184123,7846.975,7425055.0,Asia
Latvia,LVA,2021,8.168511,32081.455,1873926.0,Europe
Lebanon,LBN,2021,,12977.202,5592626.0,Asia
Lesotho,LSO,2021,,2295.2322,2281464.0,Africa
Liberia,LBR,2021,,1423.2296,5193422.0,Africa
Libya,LBY,2021,,21965.174,6735280.0,Africa
Liechtenstein,LIE,2021,,,39058.0,Europe
Lithuania,LTU,2021,7.9802,39305.613,2786652.0,Europe
Luxembourg,LUX,2021,13.726101,115683.49,639330.0,Europe
Macao,MAC,2021,,64796.996,686616.0,Asia
Madagascar,MDG,2021,0.20508897,1463.6288,28915652.0,Africa
Malawi,MWI,2021,0.16237016,1491.1339,19889742.0,Africa
Malaysia,MYS,2021,7.744011,26333.156,33573872.0,Asia
Maldives,MDV,2021,,18765.217,521469.0,Asia
Mali,MLI,2021,,2120.6233,21904990.0,Africa
Malta,MLT,2021,19.433935,44658.72,526751.0,Europe
Marshall Islands,MHL,2021,,5961.8164,42074.0,Oceania
Martinique,MTQ,2021,,,368799.0,North America
Mauritania,MRT,2021,,5307.522,4614981.0,Africa
Mauritius,MUS,2021,4.432377,20967.947,1298922.0,Africa
Mayotte,MYT,2021,,,316022.0,Africa
Mexico,MEX,2021,3.995392,19086.105,126705136.0,North America
Micronesia (country),FSM,2021,,3315.2302,113143.0,Oceania
Moldova,MDA,2021,,14009.226,3061509.0,Europe
Monaco,MCO,2021,,,36713.0,Europe
Mongolia,MNG,2021,10.5226,11668.431,3347782.0,Asia
Montenegro,MNE,2021,,20602.5,627856.0,Europe
Montserrat,MSR,2021,,,4438.0,North America
Morocco,MAR,2021,2.0519862,8058.397,37076588.0,Africa
Mozambique,MOZ,2021,0.43922287,1226.767,32077074.0,Africa
Myanmar,MMR,2021,,4032.6257,53798088.0,Asia
Namibia,NAM,2021,3.628782,9137.797,2530150.0,Africa
Nauru,NRU,2021,,11947.395,12533.0,Oceania
Nepal,NPL,2021,0.98037636,3831.9485,30034988.0,Asia
Netherlands,NLD,2021,9.381337,56617.35,17501696.0,Europe
New Caledonia,NCL,2021,,,287809.0,Oceania
New Zealand,NZL,2021,7.968152,42915.453,5129730.0,Oceania
Nicaragua,NIC,2021,0.98678356,5638.748,6850546.0,North America
Niger,NER,2021,,1186.5768,25252722.0,Africa
Nigeria,NGA,2021,0.6176759,4922.6323,213401328.0,Africa
Niue,NIU,2021,,,1957.0,Oceania
North Korea,PRK,2021,,,25971910.0,Asia
North Macedonia,MKD,2021,,16467.316,2103329.0,Europe
Northern America (UN),,2021,,,375278944.0,North America
Northern Mariana Islands,MNP,2021,,,49503.0,Oceania
Norway,NOR,2021,8.260688,65662.17,5403021.0,Europe
Oceania,,2021,8.57394,,44492065.0,Oceania
Oceania (UN),,2021,,,44491724.0,Oceania
Oman,OMN,2021,15.371639,34294.766,4520474.0,Asia
Pakistan,PAK,2021,1.0637796,5232.1426,231402112.0,Asia
Palau,PLW,2021,,13785.397,18050.0,Oceania
Palestine,PSE,2021,,5643.0723,5133393.0,Asia
Panama,PAN,2021,3.5987642,29037.945,4351264.0,North America
Papua New Guinea,PNG,2021,,3677.4602,9949438.0,Oceania
Paraguay,PRY,2021,2.1347156,13687.655,6703802.0,South America
Peru,PER,2021,1.9239199,12514.651,33715464.0,South America
Philippines,PHL,2021,1.6058121,8094.693,113880336.0,Asia
Poland,POL,2021,8.289582,34915.523,38307724.0,Europe
Portugal,PRT,2021,4.7686496,33674.527,10290109.0,Europe
Puerto Rico,PRI,2021,,32632.883,3256030.0,North America
Qatar,QAT,2021,26.705807,92862.35,2688239.0,Asia
Reunion,REU,2021,,,966132.0,Africa
Romania,ROU,2021,4.4488373,30776.93,19328558.0,Europe
Russia,RUS,2021,9.371125,27960.102,145102752.0,Europe/Asia
Rwanda,RWA,2021,0.1653543,2238.9573,13461891.0,Africa
Saint Barthelemy,BLM,2021,,,10888.0,North America
Saint Helena,SHN,2021,,,5428.0,Africa
Saint Kitts and Nevis,KNA,2021,,26485.816,47631.0,North America
Saint Lucia,LCA,2021,,13045.955,179663.0,North America
Saint Martin (French part),MAF,2021,,,31964.0,North America
Saint Pierre and Miquelon,SPM,2021,,,5905.0,North America
Saint Vincent and the Grenadines,VCT,2021,,13695.039,104340.0,North America
Samoa,WSM,2021,,5534.127,218781.0,Oceania
San Marino,SMR,2021,,,33772.0,Europe
Sao Tome and Principe,STP,2021,,4052.1233,223118.0,Africa
Saudi Arabia,SAU,2021,17.303928,44339.312,35950396.0,Asia
Senegal,SEN,2021,0.90284795,3495.4036,16876726.0,Africa
Serbia,SRB,2021,,19831.297,7296771.0,Europe
Seychelles,SYC,2021,,28760.516,106486.0,Africa
Sierra Leone,SLE,2021,,1614.6981,8420642.0,Africa
Singapore,SGP,2021,27.71478,106032.23,5941063.0,Asia
Sint Maarten (Dutch part),SXM,2021,,,44061.0,North America
Slovakia,SVK,2021,7.569736,31866.025,5447621.0,Europe
Slovenia,SVN,2021,9.767269,40036.484,2119408.0,Europe
Solomon Islands,SLB,2021,,2406.1135,707855.0,Oceania
Somalia,SOM,2021,,1136.736,17065588.0,Africa
South Africa,ZAF,2021,5.0127277,13311.926,59392256.0,Africa
South Korea,KOR,2021,13.296304,44232.207,51830136.0,Asia
South Sudan,SSD,2021,,,10748278.0,Africa
Spain,ESP,2021,5.7317705,37913.074,47486932.0,Europe
Sri Lanka,LKA,2021,1.7624207,13386.682,21773438.0,Asia
Sudan,SDN,2021,,3701.069,45657204.0,Africa
Suriname,SUR,2021,,14766.748,612989.0,South America
Sweden,SWE,2021,6.5117664,53613.42,10467095.0,Europe
Switzerland,CHE,2021,13.654305,71032.84,8691409.0,Europe
Syria,SYR,2021,,,21324366.0,Asia
Taiwan,TWN,2021,12.524232,,23859904.0,Asia
Tajikistan,TJK,2021,1.371936,3903.32,9750078.0,Asia
Tanzania,TZA,2021,0.33782172,2581.6997,63588332.0,Africa
Thailand,THA,2021,3.8793957,17077.043,71601104.0,Asia
Togo,TGO,2021,0.92364776,2124.8042,8644829.0,Africa
Tokelau,TKL,2021,,,1869.0,Oceania
Tonga,TON,2021,,6142.857,106034.0,Oceania
Trinidad and Tobago,TTO,2021,13.866487,23037.143,1525671.0,North America
Tunisia,TUN,2021,2.6628153,10397.944,12262949.0,Africa
Turkey,TUR,2021,4.9772143,31466.56,84775408.0,Asia
Turkmenistan,TKM,2021,,,6341850.0,Asia
Turks and Caicos Islands,TCA,2021,,18512.457,45141.0,North America
Tuvalu,TUV,2021,,4924.0273,11229.0,Oceania
Uganda,UGA,2021,0.1831782,2246.414,45853780.0,Africa
Ukraine,UKR,2021,4.5168967,12943.614,43531424.0,Europe
United Arab Emirates,ARE,2021,25.750458,69733.8,9365149.0,Asia
United Kingdom,GBR,2021,7.6306796,44978.715,67281040.0,Europe
United States,USA,2021,16.534756,63669.71,336997632.0,North America
United States Virgin Islands,VIR,2021,,,100100.0,North America
Uruguay,URY,2021,3.5123985,22800.69,3426265.0,South America
Uzbekistan,UZB,2021,,7734.8325,34081452.0,Asia
Vanuatu,VUT,2021,,2783.0195,319146.0,Oceania
Venezuela,VEN,2021,1.4249743,,28199862.0,South America
Vietnam,VNM,2021,2.32942,10628.219,97468024.0,Asia
Wallis and Futuna,WLF,2021,,,11654.0,Oceania
Western Sahara,ESH,2021,,,565590.0,Africa
Yemen,YEM,2021,,,32981644.0,Asia
Zambia,ZMB,2021,0.39066356,3236.789,19473132.0,Africa
Zimbabwe,ZWE,2021,0.59298575,2115.1445,15993525.0,Africa
